geneName;entrezId;mirnaName;Interaction;evidencePMID
AML1;862;hsa-mir-223-3p;-1;17996649
AP-1;3725;hsa-mir-21-5p;1;18384814,18850008
BCR;613;hsa-mir-155-5p;1;18048365
BMP2;650;hsa-mir-24-1;1;19285018
BMP2;650;hsa-mir-31-5p;1;19285018
BMP6;654;hsa-mir-21-5p;-1;19308091
BRCA1;672;hsa-mir-146a-5p;1;19190326
BRCA1;672;hsa-mir-146b-5p;1;19190326
CEBPA;1050;hsa-mir-1;1;18818206
CCND1;595;hsa-mir-17-5p;1;18695042
CCND1;595;hsa-mir-20a-5p;1;18695042
c-myb;4602;hsa-mir-15a-5p;1;18818396
CREB1;1385;hsa-mir-132-3p;1;17994015
E2F1;1869;hsa-mir-106a-5p;1;19034270
E2F1;1869;hsa-mir-106b-5p;1;19034270
E2F1;1869;hsa-mir-17-5p;1;19034270
E2F1;1869;hsa-mir-18b-5p;1;19034270
E2F1;1869;hsa-mir-19b-2;1;19034270
E2F1;1869;hsa-mir-20b-5p;1;19034270
E2F1;1869;hsa-mir-25-3p;1;19034270
E2F1;1869;hsa-mir-363-3p;1;19034270
E2F1;1869;hsa-mir-92a-2;1;19034270
E2F1;1869;hsa-mir-93-5p;1;19034270
E2F1;1869;hsa-mir-17-5p;1;19066217
E2F1;1869;hsa-mir-18a-5p;1;19066217
E2F1;1869;hsa-mir-19a-3p;1;19066217
E2F1;1869;hsa-mir-19b-3p;1;19066217
E2F1;1869;hsa-mir-20a-5p;1;19066217
E2F1;1869;hsa-mir-92a-3p;1;19066217
EGR1;1958;hsa-mir-106a-5p;1;19307576
EIF2C2;27161;hsa-let-7a-5p;1;19064005
EIF2C2;27161;hsa-let-7b-5p;1;19064005
EIF2C2;27161;hsa-let-7c;1;19064005
EIF2C2;27161;hsa-let-7d-5p;1;19064005
EIF2C2;27161;hsa-let-7e-5p;1;19064005
EIF2C2;27161;hsa-let-7f-5p;1;19064005
EIF2C2;27161;hsa-let-7g-5p;1;19064005
EIF2C2;27161;hsa-let-7i-5p;1;19064005
ERS1;2099;hsa-mir-21-5p;1;19264808
FOXP3;50943;hsa-mir-155-5p;1;19144316,19234151
FSH;6046;hsa-let-7a-5p;-1;19273269
FSH;6046;hsa-mir-143-3p;-1;19273269
FSH;6046;hsa-mir-15b-5p;-1;19273269
GATA1;2623;hsa-mir-144-3p;1;18303114
GATA1;2623;hsa-mir-451a;1;18303114
HIF1A;3091;hsa-mir-210;1;18316553
HMGA1;3159;hsa-mir-101-2;1;19169275
HMGA1;3159;hsa-mir-196a-2;1;19169275
HMGA1;3159;hsa-mir-29a-3p;1;19169275
HMGA1;3159;hsa-mir-331-3p;1;19169275
HNF1A;6927;hsa-mir-194-5p;1;18029763
HNF1A;6927;hsa-mir-194-5p;1;18492795
HoxD10;3236;hsa-mir-7-5p;1;18922890
IL1B;3553;hsa-mir-9-5p;1;19289835
IL1B;3553;hsa-mir-146a-5p;1;19333945
LMO2;4005;hsa-mir-142;-1;17972953
LPS;3664;hsa-mir-9-1;1;19289835
MECP2;4204;hsa-mir-184;-1;18203756
MRF4;4618;hsa-mir-1;1;18619954
MRF4;4618;hsa-mir-133a;1;18619954
MRF4;4618;hsa-mir-206;1;18619954
MYF5;4617;hsa-mir-1;1;18619954
MYF5;4617;hsa-mir-206;1;18619954
MYC;4609;hsa-mir-106a-5p;1;17943719
MYC;4609;hsa-mir-17-5p;1;17943719,19066217
MYC;4609;hsa-mir-18a-5p;1;17943719,19066217
MYC;4609;hsa-mir-19a-3p;1;17943719,19066217
MYC;4609;hsa-mir-19b-3p;1;17943719,19066217
MYC;4609;hsa-mir-20a-5p;1;17943719,19066217
MYC;4609;hsa-mir-221-3p;1;17943719
MYC;4609;hsa-mir-92a-3p;1;17943719,19066217
MYC;4609;hsa-mir-195-5p;-1;18066065
MYC;4609;hsa-mir-22-3p;-1;18066065
MYC;4609;hsa-mir-29a-3p;-1;18066065
MYC;4609;hsa-mir-29c-3p;-1;18066065
MYC;4609;hsa-mir-26a-5p;-1;18713946,19197161
MYC;4609;hsa-let-7a-5p;-1;19211792
MYC;4609;hsa-let-7b-5p;-1;19211792
MYC;4609;hsa-let-7c;-1;19211792
MYC;4609;hsa-let-7d-5p;-1;19211792
MYC;4609;hsa-let-7e-5p;-1;19211792
MYC;4609;hsa-let-7f-5p;-1;19211792
MYC;4609;hsa-let-7g-5p;-1;19211792
MYC;4609;hsa-let-7i-5p;-1;19211792
MYC;4609;hsa-mir-15a-5p;-1;19211792
MYC;4609;hsa-mir-16-1;-1;19211792
MYC;4609;hsa-mir-34a-5p;-1;19211792
MYC;4609;hsa-mir-23a-3p;-1;19219026
MYC;4609;hsa-mir-23b-3p;-1;19219026
MYCN;4613;hsa-mir-106a-5p;1;17943719
MYCN;4613;hsa-mir-17-5p;1;17943719,19351822
MYCN;4613;hsa-mir-18a-5p;1;17943719,19351822
MYCN;4613;hsa-mir-19a-3p;1;17943719,19351822
MYCN;4613;hsa-mir-19b-3p;1;17943719,19351822
MYCN;4613;hsa-mir-20a-5p;1;17943719,19351822
MYCN;4613;hsa-mir-221-3p;1;17943719
MYCN;4613;hsa-mir-92a-3p;1;17943719,19351822
MYF5;4617;hsa-mir-133a;1;18619954
MyoD;4654;hsa-mir-1;1;18619954
MyoD;4654;hsa-mir-133a;1;18619954
MyoD;4654;hsa-mir-206;1;18619954
Myogenin;4656;hsa-mir-1;1;18619954
Myogenin;4656;hsa-mir-133a;1;18619954
Myogenin;4656;hsa-mir-206;1;18619954
NFIB;4781;hsa-mir-21-5p;-1;18384814
NFKB1;4790;hsa-mir-125b-5p;-1;17911593
NFKB1;4790;hsa-mir-155-5p;1;17911593
NFKB1;4790;hsa-mir-29a-3p;-1;18977326
NFKB1;4790;hsa-mir-29b-3p;-1;18977326
NFKB1;4790;hsa-mir-29c-3p;-1;18977326
NFKB1;4790;hsa-mir-146a-5p;1;19021527
NFKB1;4790;hsa-mir-9-5p;1;19289835
NKX2-5;1482;hsa-mir-17-5p;1;19148830
NKX2-5;1482;hsa-mir-18a-5p;1;19148830
NKX2-5;1482;hsa-mir-19a-3p;1;19148830
NKX2-5;1482;hsa-mir-19b-3p;1;19148830
NKX2-5;1482;hsa-mir-20a-5p;1;19148830
NKX2-5;1482;hsa-mir-92a-3p;1;19148830
NR3B3;2104;hsa-mir-127-3p;1;18776219
NR3B3;2104;hsa-mir-433;1;18776219
PDGF;5154;hsa-mir-221-3p;1;19088079
PLZF;7704;hsa-mir-146a-5p;-1;18568019
POU5F1;5460;hsa-mir-302a-3p;1;18710938
POU5F1;5460;hsa-mir-302b-3p;1;18710938
POU5F1;5460;hsa-mir-302c-3p;1;18710938
POU5F1;5460;hsa-mir-302d-3p;1;18710938
POU5F1;5460;hsa-mir-367-3p;1;18710938
POU5F1;5460;hsa-mir-302a-3p;1;18725401
POU5F1;5460;hsa-mir-302b-3p;1;18725401
POU5F1;5460;hsa-mir-302c-3p;1;18725401
POU5F1;5460;hsa-mir-302d-3p;1;18725401
POU5F1;5460;hsa-mir-367-3p;1;18725401
PRKCA;5578;hsa-mir-15a-5p;-1;19117988
PTEN;5728;hsa-mir-19a-3p;1;18460397
PTEN;5728;hsa-mir-21-5p;1;18460397
REST;5978;hsa-mir-21-5p;-1;18362916,19150961
Rex1;132625;hsa-mir-302a-3p;1;18725401
Rex1;132625;hsa-mir-302b-3p;1;18725401
